Ticker,Sector
RF,Financial Services
RHI,Industrials
RIG,Energy
RJF,Financial Services
RL,Consumer Cyclical
RMD,Healthcare
ROK,Industrials
ROL,Consumer Cyclical
ROP,Technology
ROST,Consumer Cyclical
RRC,Energy
RSG,Industrials
RTX,Industrials
SBAC,Real Estate
SBUX,Consumer Cyclical
SCG,Unknown
SCHW,Financial Services
SE,Consumer Cyclical
SEE,Consumer Cyclical
SHW,Basic Materials
SIG,Consumer Cyclical
SJM,Consumer Defensive
SLB,Energy
SLG,Real Estate
SLM,Financial Services
SNA,Industrials
SNI,Unknown
SNPS,Technology
SO,Utilities
SPG,Real Estate
SPGI,Financial Services
SRCL,Industrials
SRE,Utilities
STE,Healthcare
STT,Financial Services
STX,Technology
STZ,Consumer Defensive
SUN,Energy
SVU,Unknown
SWK,Industrials
SWKS,Technology
SWN,Energy
SYF,Financial Services
SYK,Healthcare
SYY,Consumer Defensive
T,Communication Services
TAP,Consumer Defensive
TDC,Technology
TDG,Industrials
TDY,Technology
TEL,Technology
TER,Technology
TFC,Financial Services
TFX,Healthcare
TGNA,Communication Services
TGT,Consumer Defensive
THC,Healthcare
TJX,Consumer Cyclical
TMO,Healthcare
TMUS,Communication Services
TPR,Consumer Cyclical
TRIP,Consumer Cyclical
TROW,Financial Services
TRV,Financial Services
TSCO,Consumer Cyclical
TSLA,Consumer Cyclical
TSN,Consumer Defensive
TT,Industrials
TTWO,Communication Services
TWX,Unknown
TXN,Technology
TXT,Industrials
TYL,Technology
UA,Consumer Cyclical
UAA,Consumer Cyclical
UAL,Industrials
UDR,Real Estate
UHS,Healthcare
ULTA,Consumer Cyclical
UNH,Healthcare
UNM,Financial Services
UNP,Industrials
UPS,Industrials
URBN,Consumer Cyclical
URI,Industrials
USB,Financial Services
V,Financial Services
VFC,Consumer Cyclical
VIAV,Technology
VLO,Energy
VMC,Basic Materials
VNO,Real Estate
VNT,Technology
VRSK,Industrials
VRSN,Technology
VRTX,Healthcare
VTR,Real Estate
VTRS,Healthcare
VZ,Communication Services
WAB,Industrials
WAT,Healthcare
WBA,Healthcare
WDC,Technology
WEC,Utilities
WELL,Real Estate
WFC,Financial Services
WHR,Consumer Cyclical
WM,Industrials
WMB,Energy
WMT,Consumer Defensive
WRB,Financial Services
WST,Healthcare
WU,Financial Services
WY,Real Estate
WYNN,Consumer Cyclical
X,Basic Materials
XEL,Utilities
XOM,Energy
XRAY,Healthcare
XRX,Technology
XYL,Industrials
YUM,Consumer Cyclical
ZBH,Healthcare
ZBRA,Technology
ZION,Financial Services
ZTS,Healthcare
